Plant,Tt_myco_mass_wholesystem,Sp_myco_mass_wholesystem,Tt_dead_mass_wholesystem,Sp_dead_mass_wholesystem,NM_mass_wholesystem,percent_col_denominator,total_root_mass_wholesystem,percent_Tt,percent_Sp,percent_Tt_dead,percent_Sp_dead,N_level,Batch,competitors_attempted,competitors,enriched,shoot_biomass
6045,0.05048,0,0.00144,0,0.09212999999999999,0.14404999999999998,0.60023,35.043387712599795,0,0,0,Low,FC03,Tt/Tt,Tt/Tt,1,0.57773
6048,0.00354,0,0,0,0.02905,0.03259,0.23067,10.862227677201595,0,0,0,High,FC02,Sp/Sp,Tt/None,1,0.41299
6048,0.00354,0,0,0,0.02905,0.03259,0.23067,10.862227677201595,0,0,0,High,FC02,Sp/Sp,Tt/None,1,0.41299
6049,0.0172,0,0.02036,0,0.12975,0.16731000000000001,1.3857499999999998,10.280317972625665,0,0,0,High,FC02,Tt/None,Tt/None,1,2.4138
6049,0.0172,0,0.02036,0,0.12975,0.16731000000000001,1.3857499999999998,10.280317972625665,0,0,0,High,FC02,Tt/None,Tt/None,1,2.4138
6050,0,0.0409,0,0.037790000000000004,0.07483999999999999,0.15353,1.3070400000000002,0,26.639744675307757,0,24.614081938383382,High,FC05,Sp/Sp,Sp/Sp,1,1.21332
6050,0,0.0409,0,0.037790000000000004,0.07483999999999999,0.15353,1.3070400000000002,0,26.639744675307757,0,24.614081938383382,High,FC05,Sp/Sp,Sp/Sp,1,1.21332
6051,0.0218,0,0,0,0.07930000000000001,0.10110000000000001,0.60361,21.562809099901088,0,0,0,High,FC09,Sp/None,Tt/None,1,0.9480999999999999
6051,0.0218,0,0,0,0.07930000000000001,0.10110000000000001,0.60361,21.562809099901088,0,0,0,High,FC09,Sp/None,Tt/None,1,0.9480999999999999
6052,0.02384,3.9e-4,0,0,0.09042,0.11465,1.2299699999999998,20.793720017444393,0.340165721761884,0,0,High,FC12,Tt/Sp,MIXED/THETE,1,1.8976
6052,0.02384,3.9e-4,0,0,0.09042,0.11465,1.2299699999999998,20.793720017444393,0.340165721761884,0,0,High,FC12,Tt/Sp,MIXED/THETE,1,1.8976
6053,0.01596,0.00544,0,0.01541,0.09068000000000001,0.12749,0.6322,12.518628912071533,4.267001333437917,0,12.08722252725704,Low,FC08,Tt/Sp,Tt/Sp,1,0.6975899999999999
6053,0.01596,0.00544,0,0.01541,0.09068000000000001,0.12749,0.6322,12.518628912071533,4.267001333437917,0,12.08722252725704,Low,FC08,Tt/Sp,Tt/Sp,1,0.6975899999999999
6054,0.0097,0,0,0,0.0508,0.0605,0.5473,16.033057851239672,0,0,0,Low,FC06,Tt/None,Tt/None,1,0.52764
6054,0.0097,0,0,0,0.0508,0.0605,0.5473,16.033057851239672,0,0,0,Low,FC06,Tt/None,Tt/None,1,0.52764
6055,0.03132,0,0.00475,0,0.1527,0.18877,1.08056,16.591619431053665,0,0,0,High,FC09,Tt/Tt,Tt/Tt,1,2.66525
6055,0.03132,0,0.00475,0,0.1527,0.18877,1.08056,16.591619431053665,0,0,0,High,FC09,Tt/Tt,Tt/Tt,1,2.66525
6056,0,0.013519999999999999,0,0.00358,0.0377,0.054799999999999995,0.6134299999999999,0,24.67153284671533,0,6.532846715328468,Low,FC10,Sp/None,MIXED/SUIPU,1,0.5603400000000001
6056,0,0.013519999999999999,0,0.00358,0.0377,0.054799999999999995,0.6134299999999999,0,24.67153284671533,0,6.532846715328468,Low,FC10,Sp/None,MIXED/SUIPU,1,0.5603400000000001
6057,0.03117,0.00259,0.00511,0,0.06747,0.10634,0.31726,29.311641903328944,2.435583975926274,0,0,Low,FC01,Sp/None,MIXED/THETE,1,0.38091
6057,0.03117,0.00259,0.00511,0,0.06747,0.10634,0.31726,29.311641903328944,2.435583975926274,0,0,Low,FC01,Sp/None,MIXED/THETE,1,0.38091
6058,0,0,0,0,0.10286000000000001,0.10286000000000001,0.56565,0,0,0,0,Low,FC13,None/None,None/None,1,0.77654
6058,0,0,0,0,0.10286000000000001,0.10286000000000001,0.56565,0,0,0,0,Low,FC13,None/None,None/None,1,0.77654
6061,0.00306,0,0,0,0.08146,0.08452,0.63106,3.620444865120681,0,0,0,Low,FC01,None/None,Tt/None,1,0.645
6061,0.00306,0,0,0,0.08146,0.08452,0.63106,3.620444865120681,0,0,0,Low,FC01,None/None,Tt/Tt,1,0.645
6062,0,0.00143,0,9e-4,0.08985,0.09218,0.5875600000000001,0,1.5513126491646778,0,0.9763506183553917,Low,FC03,Sp/Sp,Sp/None,1,0.5414
6062,0,0.00143,0,9e-4,0.08985,0.09218,0.5875600000000001,0,1.5513126491646778,0,0.9763506183553917,Low,FC03,Sp/Sp,Sp/None,1,0.5414
6063,0,0.0122,0,0.0031,0.10151,0.11681,0.67561,0,10.444311274719631,0,2.653882373084496,High,FC02,Sp/Sp,Sp/None,1,0.7735
6063,0,0.0122,0,0.0031,0.10151,0.11681,0.67561,0,10.444311274719631,0,2.653882373084496,High,FC02,Sp/Sp,Sp/None,1,0.7735
6064,0.00667,0.00185,0,0.0124,0.07447999999999999,0.09539999999999998,0.81316,6.9916142557651995,1.9392033542976943,0,12.997903563941302,High,FC05,Sp/Sp,Tt/Sp,1,1.10664
6064,0.00667,0.00185,0,0.0124,0.07447999999999999,0.09539999999999998,0.81316,6.9916142557651995,1.9392033542976943,0,12.997903563941302,High,FC05,Sp/Sp,Tt/Sp,1,1.10664
6065,0.05635999999999999,0,0,0,0.16268,0.21903999999999998,1.7138200000000001,25.730460189919647,0,0,0,High,FC12,None/None,Tt/Tt,1,2.85007
6065,0.05635999999999999,0,0,0,0.16268,0.21903999999999998,1.7138200000000001,25.730460189919647,0,0,0,High,FC12,None/None,Tt/Tt,1,2.85007
6066,0.047670000000000004,0,0,0,0.09409000000000001,0.14176,1.3296700000000001,33.62725733634312,0,0,0,High,FC12,Tt/Sp,Tt/Tt,1,2.31632
6066,0.047670000000000004,0,0,0,0.09409000000000001,0.14176,1.3296700000000001,33.62725733634312,0,0,0,High,FC12,Tt/Sp,Tt/Tt,1,2.31632
6067,0.04231,0.00213,0,0.00488,0.04966,0.09898000000000001,0.58315,42.746009294807024,2.1519498888664375,0,4.930288947262072,Low,FC03,Tt/Sp,MIXED/THETE,1,0.60997
6067,0.04231,0.00213,0,0.00488,0.04966,0.09898000000000001,0.58315,42.746009294807024,2.1519498888664375,0,4.930288947262072,Low,FC03,Tt/Sp,MIXED/THETE,1,0.60997
6068,0.01874,0,0.0053,0,0.07067,0.09470999999999999,0.8508499999999999,19.78671734769296,0,0,0,High,FC05,None/None,Tt/None,1,1.76714
6068,0.01874,0,0.0053,0,0.07067,0.09470999999999999,0.8508499999999999,19.78671734769296,0,0,0,High,FC05,None/None,Tt/None,1,1.76714
6069,0.00352,0,0,0,0.10042999999999999,0.10394999999999999,0.59419,3.3862433862433865,0,0,0,Low,FC11,Tt/None,Tt/None,1,0.6094999999999999
6069,0.00352,0,0,0,0.10042999999999999,0.10394999999999999,0.59419,3.3862433862433865,0,0,0,Low,FC11,Tt/None,Tt/None,1,0.6094999999999999
6070,0.030899999999999997,0,0,0,0.0854,0.1163,2.0059,26.569217540842644,0,0,0,High,FC14,Sp/None,Tt/Tt,1,4.34949
6070,0.030899999999999997,0,0,0,0.0854,0.1163,2.0059,26.569217540842644,0,0,0,High,FC14,Sp/None,Tt/Tt,1,4.34949
6071,0.02043,0.0024,0,0,0.05455,0.07738,0.72766,26.40217110364435,3.101576634789351,0,0,Low,FC11,Tt/Sp,Tt/Sp,1,0.67501
6071,0.02043,0.0024,0,0,0.05455,0.07738,0.72766,26.40217110364435,3.101576634789351,0,0,Low,FC11,Tt/Sp,Tt/Sp,1,0.67501
6072,0.0383,0,0,0,0.08373,0.12203,0.69543,31.385724821765145,0,0,0,Low,FC10,Tt/Tt,Tt/Tt,1,1.0901
6072,0.0383,0,0,0,0.08373,0.12203,0.69543,31.385724821765145,0,0,0,Low,FC10,Tt/Tt,Tt/Tt,1,1.0901
6073,0.04624,0,0,0,0.17963,0.22587000000000002,0.7226400000000001,20.471952893257182,0,0,0,High,B01,Tt/None,Tt/Tt,0,1.59837
6073,0.04624,0,0,0,0.17963,0.22587000000000002,0.7226400000000001,20.471952893257182,0,0,0,High,B01,Tt/None,Tt/Tt,0,1.59837
6074,0,0,0,0,0.04734,0.04734,0.7074499999999999,0,0,0,0,Low,FC08,None/None,None/None,1,0.53314
6074,0,0,0,0,0.04734,0.04734,0.7074499999999999,0,0,0,0,Low,FC08,None/None,None/None,1,0.53314
6075,0.00944,0,0,0,0.032200000000000006,0.04164000000000001,0.74612,22.670509125840532,0,0,0,Low,FC10,Tt/Tt,Tt/Tt,1,0.5851000000000001
6075,0.00944,0,0,0,0.032200000000000006,0.04164000000000001,0.74612,22.670509125840532,0,0,0,Low,FC10,Tt/Tt,Tt/Tt,1,0.5851000000000001
6076,0,0,0,0,0.0733,0.0733,0.5398000000000001,0,0,0,0,Low,FC10,Sp/None,Tt/None,1,0.618
6076,0,0,0,0,0.0733,0.0733,0.5398000000000001,0,0,0,0,Low,FC10,Sp/None,Tt/None,1,0.618
6077,0,0.00876,0,0.00882,0.06953999999999999,0.08711999999999999,0.80593,0,10.055096418732784,0,10.123966942148762,Low,FC03,Sp/Sp,Sp/Sp,1,0.77022
