Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,tissue,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15
6053,a,NA,0.0031887998967550235,0.003452691025413346,THETE,NA,-2.8463959154723106e-4,-6.641867659340495e-4,uncolonized_roots,1,Y,Low,N,THETE/SUIPU,THETE,43.7,0.5,84.1,-4.801059069990045,OTHER,-11.202938703718232
6054,b,NA,NA,0.004024450307327898,NM,NA,NA,-4.56165360305294e-4,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,43.8,0.8,57.9,-8.822349651088123,0,NA
6055,a,0.001605423556345853,0.0054758095693441255,0.009290922074382202,THETE,-3.1748490580379984e-4,-7.116303660598677e-4,-0.001390443746722314,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,47,2.3,20.4,-3.9381741133017596,SELF,-7.69473849136373
6056,b,NA,0.004475255850144633,0.004134403257624486,SUIPU,NA,0.0011276884351851257,-5.10907751252343e-4,uncolonized_roots,1,Y,Low,N,MIXED/SUIPU,SUIPU,46.9,0.7,66.7,-8.759420539568707,0,3.968521544170981
6057,a,NA,NA,0.005761678342767418,NM,NA,NA,-4.598148511635869e-4,uncolonized_roots,1,Y,Low,N,MIXED/SUIPU,MIXED,48.6,0.5,91.2,NA,0,NA
6057,a,NA,0.015128464011401555,NA,SUIPU,NA,3.2846896618499155e-4,NA,mycorrhizas,1,Y,Low,N,MIXED/SUIPU,MIXED,38.3,1.2,33.1,NA,0,46.05751400843544
6057,a,NA,0.00975267365108734,NA,THETE,NA,3.9415872124748397e-4,NA,mycorrhizas,1,Y,Low,N,MIXED/SUIPU,MIXED,42.6,1,44.3,NA,0,24.74301119158503
6058,a,NA,NA,0.003716580746080167,NM,NA,NA,-2.1877857108831833e-5,uncolonized_roots,1,Y,Low,N,NM/NM,NM,45.9,0.7,64.7,-169.87864613942594,0,NA
6061,a,NA,NA,0.007136024378321171,NM,NA,NA,-0.0012809570919493085,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,53.5,0.9,59,-5.57085356189555,0,NA
6062,b,NA,NA,0.005376854608955428,NM,NA,NA,-8.50311917809099e-4,uncolonized_roots,1,Y,Low,N,SUIPU/NM,NM,49,0.8,63.6,-6.3233908596851744,0,NA
6063,a,NA,0.0728840722502695,0.006982099521478657,SUIPU,NA,6.569168752761922e-4,-0.001076582646856672,mycorrhizas,1,Y,High,N,SUIPU/NM,SUIPU,34.7,1.7,19.9,-67.699467814265,NM,110.94869837165672
6064,a,NA,0.011643611320497849,0.006795190122702577,SUIPU,NA,-3.28433348701862e-4,-0.001175120221067083,mycorrhizas,1,Y,High,N,THETE/SUIPU,SUIPU,36.8,1.8,20.7,-9.90844265272256,OTHER,-35.4519763797416
6065,b,NA,0.01165460493276238,0.027109206918453532,THETE,NA,1.313991812624815e-4,-0.0010254891665923416,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,35,1.8,18.9,-11.364922529108869,SELF,88.6961761921581
6066,b,0.0250540013276197,0.046008696835931895,0.018711999630377507,THETE,0.001996232040467727,0.002003530662064268,-6.167432109921434e-4,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,41.6,1.3,33,-74.5994378469421,SELF,22.963809692100465
6067,b,NA,NA,0.0026170309544140125,NM,NA,NA,-0.00134664905593751,uncolonized_roots,1,Y,Low,N,MIXED/THETE,MIXED,47.8,0.8,62.9,NA,0,NA
6067,b,NA,0.00696011021710885,NA,SUIPU,NA,-1.605574886830441e-4,NA,mycorrhizas,1,Y,Low,N,MIXED/THETE,MIXED,31.8,0.8,37.8,NA,0,-43.34964550204679
6067,b,NA,0.004431275002460433,NA,THETE,NA,3.6683487040778395e-6,NA,mycorrhizas,1,Y,Low,N,MIXED/THETE,MIXED,46.2,0.9,49.4,NA,0,1207.9754025386144
6068,b,0.001990276635336574,0.008125529876608306,0.0021222255730573014,THETE,0.0014086894940240624,0.004211314607858063,-0.0010510359001740799,hyphae,1,Y,High,N,THETE/NM,THETE,17.3,2.1,8.1,-7.730972724397425,NM,1.9294521148922357
6069,a,0.0027599738096735216,0.005816652917456588,0.006069535173978791,THETE,2.5912968631119915e-4,6.824627329953259e-4,3.978081495444874e-4,mycorrhizas,1,Y,Low,N,THETE/NM,THETE,40.5,0.9,43.2,14.621754039269888,NM,8.523033766147677
6070,a,NA,0.03135123282365626,0.029406100319721462,THETE,NA,0.00275163370347431,-2.6274272740728355e-4,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,40.5,2.6,15.6,-119.3229328667887,SELF,11.393679610796701
6071,a,0.003331741099555696,0.0032327818493091964,0.004475255850144633,THETE,-0.0010619845042910137,-6.641867659340495e-4,-1.0929481584875944e-5,mycorrhizas,1,Y,Low,N,THETE/SUIPU,THETE,42.2,0.9,45.1,-295.7854701711262,OTHER,-4.867278324588292
6074,b,NA,NA,0.007289948756109332,NM,NA,NA,8.030688754029347e-5,uncolonized_roots,1,Y,Low,N,NM/NM,NM,69.6,1.2,59.7,90.77613364671426,0,NA
6075,a,NA,0.0032767637627519886,0.005453819595256926,THETE,NA,1.4616718613580382e-5,1.5329586253060024e-4,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,43.9,0.7,59.7,21.375422067232215,SELF,224.17916424193524
6076,a,NA,NA,0.0047721255490542624,NM,NA,NA,-4.123714908600973e-4,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,45.1,0.8,58.5,-11.572394442450125,0,NA
6077,b,NA,0.023471324901410018,0.010104481482540173,SUIPU,NA,5.802792235178877e-4,-8.904566495800958e-4,mycorrhizas,1,Y,Low,N,SUIPU/SUIPU,SUIPU,34.6,1.1,30.6,-26.35875077408672,SELF,40.44832892537033
6078,a,NA,0.007300943336191468,0.00793862479905938,THETE,NA,8.395633882973819e-5,-0.0018320423635135863,mycorrhizas,1,Y,Low,N,THETE/SUIPU,THETE,48.3,1.2,39.8,-3.9851389256028655,OTHER,86.96119242404839
6079,b,NA,NA,0.00350766816666237,NM,NA,NA,-8.756816078292484e-5,uncolonized_roots,1,Y,Low,N,SUIPU/NM,NM,46.7,0.8,55.9,-40.05643301516434,0,NA
6080,a,NA,0.005036008229930999,0.006322416137499953,THETE,NA,-2.9193854839937305e-4,-0.0012371624974163442,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,38.8,0.9,43.1,-4.070611775290683,SELF,-17.25023385072711
6082,a,0.010060505640469675,NA,-2.199204016031242e-4,OTHER,0.0020911140378132576,NA,6.642156931041532e-4,hyphae,1,Y,High,N,FAILED,OTHER,14.9,1.4,11.1,NA,0,NA
6084,a,0.00876320070768144,NA,0.007718735568214674,SUIPU,0.003981417703222023,NA,-8.795080831615065e-4,uncolonized_roots,1,Y,Low,N,SUIPU/SUIPU,SUIPU,45,0.7,63.9,NA,SELF,NA
6085,b,NA,0.008158513052264782,0.004167389095047991,SUIPU,NA,3.3576783213629113e-4,-0.0015948194794525028,uncolonized_roots,1,Y,Low,N,THETE/SUIPU,SUIPU,44.4,1.2,36.8,-5.11563418767971,OTHER,24.298078229701197
6087,b,NA,0.0020892383716284435,0.0026940002355033688,THETE,NA,-2.2989744924395428e-4,-6.933828222026595e-4,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,45.4,2.7,16.6,-3.013109504200853,SELF,-9.087697051442536
6088,a,NA,0.004519236658719228,0.0054758095693441255,THETE,NA,1.5329586253060024e-4,-5.875471996402148e-4,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,42.7,0.9,46.3,-7.691699767246933,SELF,29.48048684495394
6090,a,0.017052173391278735,0.010445292932755423,0.033494086828425695,THETE,0.003977768537451187,-7.444759618465691e-4,-0.0011641715920852058,uncolonized_roots,1,Y,High,N,THETE/NM,THETE,47,1.8,26.5,-8.97229669901697,NM,-14.030396504471854
6092,a,NA,NA,0.005904612109858043,SUIPU,NA,NA,-3.5762920819359945e-4,uncolonized_roots,1,Y,Low,N,SUIPU/SUIPU,SUIPU,46,0.6,76.2,NA,SELF,NA
6093,b,0.039526546279702535,0.01876695981122012,0.017447898612021007,THETE,0.013347945212868972,0.003229683909854675,-2.7369115827413637e-4,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,45.8,2.7,16.7,-68.56984321145892,SELF,5.810772922376968
6094,a,NA,0.010731132983286873,0.018349260904860998,THETE,NA,2.9214541416577866e-5,-0.0014342384760079874,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,41.2,2,20.2,-7.482112049563444,SELF,367.32163035759527
6096,a,NA,NA,0.003969473740514928,NM,NA,NA,8.395633882973819e-5,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,34,0.7,46,47.280214881272315,0,NA
6097,a,0.005398844617262588,0.03361496300521116,0.03364792918395754,THETE,9.707650762094122e-4,0.0014159882017047432,-1.8245430790692074e-4,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,37.8,1.5,24.5,-184.23770526898093,SELF,23.739578454637744
6098,a,NA,NA,0.008466354964331124,NM,NA,NA,5.985262941544667e-4,uncolonized_roots,1,Y,High,N,MIXED/THETE,MIXED,46.8,1.7,27.7,NA,0,NA
6099,b,0.02849394968384411,0.02185562379867756,0.02239419669859566,THETE,0.0035946046438556922,0.0029778870447290107,-4.63464342289277e-4,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,40.9,1.8,22.2,-47.15707726450312,SELF,7.339305846863118
