Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched,Batch,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13
6008,b,NA,0.004563217428184441,0.003573640655495147,Sp,NA,1.5329586253060024e-4,-3.3208283020252916e-4,Y,Low,N,Sp/Sp,Sp,37.9,0.7,53.9,-13.74120253492614,Self,29.767388061589408,NA,4.8e-4,NA,0.03811,1.2438455558434829,SUIPU/SUIPU,1,FC06,Sp,45.63217428184441,35.73640655495147,1.5329586253060024,-3.3208283020252916,3.820613044074606,3.5761699606067596
6010,a,0.007201992027461301,0.030900672216962022,0.024845178866740314,Tt,0.001339351717721815,0.0035654110835123265,2.335836115021639e-4,Y,High,N,Tt/None,Tt,12,1.1,10.7,132.28955583930494,None,8.666790867358111,NA,0.01606,NA,0.09852999999999999,14.015184571079503,THETE/NM,1,FC16,None,309.0067221696202,248.45178866740315,35.65411083512326,2.335836115021639,5.733363031255358,5.51524881732772
6010,b,NA,NA,0.0520725834754332,None,NA,NA,-6.276917196605947e-4,N,High,N,Tt/None,None,48.1,1.6,29.2,-82.9588504108193,None,NA,NA,0,NA,0.1128,0,THETE/NM,1,FC16,Tt,NA,520.725834754332,NA,-6.276917196605947,NA,6.255223674367916
6011,a,0.00644335874994062,0.012973820662606883,0.008279451174811436,Tt,3.722621458513986e-4,-3.831755992851349e-4,-4.999592682504717e-4,N,Low,N,Tt/Sp,Tt,32.3,1,32.5,-25.94975528307879,Other,-33.85868172924182,NA,0.02296,NA,0.07805999999999999,22.72817263908137,THETE/SUIPU,1,FC13,Sp,129.73820662606883,82.79451174811436,-3.831755992851349,-4.9995926825047166,4.865518624859628,4.416361775959049
6011,b,NA,0.02042672849601357,0.011808515247866636,Sp,NA,2.919746203876028e-4,-7.225788955825818e-4,Y,Low,N,Tt/Sp,Sp,46.9,0.6,84,-28.26920163443806,Other,69.96063037566975,0.00677,0.00798,NA,0.07516,9.598267981717584,THETE/SUIPU,1,FC13,Tt,204.2672849601357,118.08515247866636,2.919746203876028,-7.225788955825818,5.319429356647306,4.771405995390222
6012,a,0.014040160991854789,0.030614948729296376,0.02430663266099531,Tt,0.008170483708488274,0.006692673985692843,-2.3719639807545656e-4,Y,High,N,Tt/Sp,Tt,45.3,1.2,38.8,-129.07004059799084,Other,4.574397138534313,0.0129,0.0927,NA,0.0704,56.83629675045984,THETE/SUIPU,1,FC02,Sp,306.1494872929638,243.06632660995308,66.92673985692844,-2.3719639807545656,5.724073503230299,5.493334355108896
6012,b,NA,0.015853986052507762,0.06127684493631902,Sp,NA,4.5619896593568354e-4,5.510838965971931e-4,N,High,N,Tt/Sp,Sp,17.2,1.5,11.2,28.768734035601852,Other,34.752349821728686,0.0051,0.0038,NA,0.0355,9.669211195928755,THETE/SUIPU,1,FC02,Tt,158.53986052507761,612.7684493631901,4.561989659356835,5.5108389659719315,5.066006047662676,6.4179871310748045
6013,a,NA,0.025043010693769352,0.00953279248556993,Sp,NA,5.145897138847388e-4,-1.5690801974821422e-4,N,Low,N,Sp/None,Sp,37.4,1.2,32.1,-159.60312757725927,NM,48.66597605442741,0.00169,0.00227,NA,0.02594,8.04679191775966,SUIPU/NM,1,FC10,None,250.43010693769352,95.3279248556993,5.145897138847388,-1.5690801974821422,5.523179867372425,4.5573227882595315
6014,a,NA,NA,0.025570558363084084,None,NA,NA,-0.0015583237513989157,Y,High,N,None/None,None,42.8,2.2,19.2,-16.409015353920683,None,NA,NA,0,NA,0.02933,0,NM/NM,1,FC07,None,NA,255.70558363084083,NA,-15.583237513989157,NA,5.544026718706519
6014,b,NA,NA,0.01196242508398404,None,NA,NA,-0.0012773075409343582,N,High,N,None/None,None,43.3,1.4,31.9,-9.365344445734232,None,NA,NA,0,NA,0.03839,0,NM/NM,1,FC07,None,NA,119.62425083984041,NA,-12.773075409343582,NA,4.784355587181642
