Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched,Batch,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,hyphae.ppm13Cexcess
6049,a,0.014282008177049388,0.05637837019392866,0.02185562379867756,Tt,0.0018320127718325363,0.004565280783437431,2.9214541416577866e-5,Y,High,N,Tt/None,Tt,37.1,2.8,13.3,1929.8050717283077,None,12.349376274612958,0.02036,0.0172,NA,0.08981,16.073264180917672,THETE/NM,1,FC02,None,563.7837019392866,218.55623798677559,45.65280783437431,0.29214541416577866,6.334670670740519,5.387043363509063,142.82008177049389
6055,a,0.001605423556345853,0.0054758095693441255,0.009290922074382202,Tt,-3.1748490580379984e-4,-7.116303660598677e-4,-0.001390443746722314,Y,High,N,Tt/Tt,Tt,47,2.3,20.4,-3.9381741133017596,Self,-7.69473849136373,0.00445,0.01212,NA,0.0451,21.1814051031108,THETE/THETE,1,FC09,Tt,54.758095693441255,92.90922074382202,-7.116303660598677,-13.90443746722314,4.002925224312302,4.5316228954027,16.05423556345853
6055,b,0.0012205674827603374,0.008598286625784546,0.008664252324532384,Tt,9.634663032961899e-4,-1.7880483736792963e-4,-8.831576050337131e-4,N,High,N,Tt/Tt,Tt,39.3,3,13,-9.73584621451153,Self,-48.08755038372766,3e-4,0.0192,NA,0.1076,15.141955835962145,THETE/THETE,1,FC09,Tt,85.98286625784546,86.64252324532384,-1.7880483736792963,-8.83157605033713,4.454148046844726,4.461790725598805,12.205674827603374
6062,a,0.007641774106450949,0.0548845683090724,0.005068993466045946,Sp,0.002083815429048841,5.218885525661299e-4,-6.787847919293988e-4,N,Low,N,Sp/None,Sp,40.4,2.1,19.5,-80.85709780424929,None,105.16530404662944,9e-4,0.00143,NA,0.040459999999999996,3.413702554308905,SUIPU/NM,1,FC03,None,548.845683090724,50.68993466045946,5.218885525661299,-6.787847919293988,6.307817314730659,3.925727363480852,76.4177410645095
6065,a,0.005959586525670968,0.021646787830698067,0.0272850494191359,Tt,0.0013028581124819305,1.0967262244421239e-5,-0.0010619845042910137,N,High,N,Tt/Tt,Tt,42.5,1.9,22.6,-20.38333680315757,Self,1973.7640395814576,NA,0.04468,NA,0.03701,54.694577059615625,THETE/THETE,1,FC12,Tt,216.46787830698065,272.85049419135896,0.10967262244421239,-10.619845042910136,5.377442168337822,5.608924004850534,59.59586525670968
6066,a,0.03315343419488004,0.03793334527160663,0.018360253026545426,Tt,1.27749733448701e-4,-2.3719639807545656e-4,-0.0011459238824627627,N,High,N,Tt/Tt,Tt,42.8,1.6,27.2,-33.10284902177113,Self,-159.92378290474434,NA,0.03796,NA,0.0557,40.52957505872305,THETE/THETE,1,FC12,Tt,379.33345271606635,183.60253026545425,-2.3719639807545656,-11.459238824627626,5.9384156407353395,5.212773259493684,331.5343419488004
6066,b,0.0250540013276197,0.046008696835931895,0.018711999630377507,Tt,0.001996232040467727,0.002003530662064268,-6.167432109921434e-4,Y,High,N,Tt/Tt,Tt,41.6,1.3,33,-74.5994378469421,Self,22.963809692100465,NA,0.00971,NA,0.03839,20.187110187110186,THETE/THETE,1,FC12,Tt,460.086968359319,187.11999630377508,20.03530662064268,-6.1674321099214335,6.131415533263932,5.231750102522691,250.54001327619702
6068,b,0.001990276635336574,0.008125529876608306,0.0021222255730573014,Tt,0.0014086894940240624,0.004211314607858063,-0.0010510359001740799,Y,High,N,Tt/None,Tt,17.3,2.1,8.1,-7.730972724397425,None,1.9294521148922357,0.0053,0.01874,NA,0.036449999999999996,33.95542670773691,THETE/NM,1,FC05,None,81.25529876608306,21.222255730573014,42.113146078580634,-10.510359001740799,4.3975960346659635,3.055050429636688,19.90276635336574
6069,a,0.0027599738096735216,0.005816652917456588,0.006069535173978791,Tt,2.5912968631119915e-4,6.824627329953259e-4,3.978081495444874e-4,Y,Low,N,Tt/None,Tt,40.5,0.9,43.2,14.621754039269888,None,8.523033766147677,NA,0.00352,NA,0.02879,10.89445991952956,THETE/NM,1,FC11,None,58.16652917456588,60.69535173978791,6.824627329953259,3.978081495444874,4.063310089210534,4.105867117535016,27.599738096735216
6071,a,0.003331741099555696,0.0032327818493091964,0.004475255850144633,Tt,-0.0010619845042910137,-6.641867659340495e-4,-1.0929481584875944e-5,Y,Low,N,Tt/Sp,Tt,42.2,0.9,45.1,-295.7854701711262,Other,-4.867278324588292,NA,0.02043,NA,0.01718,54.32065939909598,THETE/SUIPU,1,FC11,Sp,32.32781849309197,44.75255850144633,-6.641867659340495,-0.10929481584875944,3.4759281132185884,3.801148616303216,33.31741099555696
