uniqueID,Plant,Side,dead_tissue.x,other.x,roots.x,Sp_myco_mass,Tt_myco_mass,<NA>.x,mycorrhizas.x,other.y,roots.y,Sp_dead_mass,Tt_dead_mass,<NA>.y,dead_tissue.y,mycorrhizas.y,uncolonized_root_mass,Sp_other_mass,Tt_other_mass,<NA>,percent_Tt_mycos,percent_Sp_mycos,percent_Tt_dead,percent_Sp_dead,N_level,Batch,compartment_fungus_attempted,compartment_fungus,competitors_attempted,competitors,enriched,total_root_biomass_compartment
6023A,6023,A,NA,NA,0.0394,NA,0.0198,NA,0.0198,NA,0.0394,NA,NA,NA,NA,0.0198,0.0394,NA,NA,NA,33.44594594594595,0,0,0,High,FC14,Tt,Tt,Tt/Tt,Tt/Tt,1,0.39859999999999995
6023B,6023,B,NA,NA,0.0446,NA,0.0027,NA,0.0027,NA,0.0446,NA,NA,NA,NA,0.0027,0.0446,NA,NA,NA,5.708245243128964,0,0,0,High,FC14,Tt,Tt,Tt/Tt,Tt/Tt,1,0.7535000000000001
6024A,6024,A,NA,NA,0.10700000000000001,NA,0.0259,NA,0.0259,NA,0.10700000000000001,NA,NA,NA,NA,0.0259,0.10700000000000001,NA,NA,NA,19.488337095560567,0,0,0,High,FC14,Tt,Tt,Tt/None,Tt/Tt,1,0.7045
6024B,6024,B,NA,NA,0.0393,NA,0.0189,NA,0.0189,NA,0.0393,NA,NA,NA,NA,0.0189,0.0393,NA,NA,NA,32.47422680412371,0,0,0,High,FC14,None,Tt,Tt/None,Tt/Tt,1,0.9613
6025A,6025,A,NA,NA,0.042460000000000005,NA,0.01655,NA,0.01655,NA,0.042460000000000005,NA,NA,NA,NA,0.01655,0.042460000000000005,NA,NA,NA,28.04609388239281,0,0,0,High,FC07,Tt,Tt,Tt/Sp,Tt/Sp,1,0.9677
6025B,6025,B,0.01904,NA,0.05161,0.01307,NA,NA,0.01307,NA,0.05161,0.01904,NA,NA,0.01904,0.01307,0.05161,NA,NA,NA,0,15.611562350692784,0,22.742474916387962,High,FC07,Sp,Sp,Tt/Sp,Tt/Sp,1,0.75922
6026A,6026,A,NA,NA,0.09192,NA,0.02705,NA,0.02705,NA,0.09192,NA,NA,NA,NA,0.02705,0.09192,NA,NA,NA,22.736824409515002,0,0,0,High,FC15,Tt,Tt,Tt/Sp,Tt/Tt,1,0.8750600000000001
6026B,6026,B,NA,NA,0.05633,NA,0.00917,NA,0.00917,NA,0.05633,NA,NA,NA,NA,0.00917,0.05633,NA,NA,NA,13.999999999999998,0,0,0,High,FC15,Sp,Tt,Tt/Sp,Tt/Tt,1,0.32393
6027A,6027,A,NA,NA,0.055760000000000004,NA,0.04506,NA,0.04506,NA,0.055760000000000004,NA,NA,NA,NA,0.04506,0.055760000000000004,NA,NA,NA,44.693513191827016,0,0,0,High,FC15,Tt,Tt,Tt/Sp,THETE,1,0.95077
6028A,6028,A,0.0274,NA,0.05705,0.0061,0.0318,NA,0.0061,NA,0.05705,NA,0.0274,NA,0.0274,0.0318,0.05705,NA,NA,NA,35.790658413055716,0,0,0,High,FC09,Sp,Mixed,Sp/None,MIXED/THETE,1,0.96705
6028B,6028,B,0.0105,NA,0.0385,NA,0.0629,NA,0.0629,NA,0.0385,NA,0.0105,NA,0.0105,0.0629,0.0385,NA,NA,NA,56.21090259159964,0,9.383378016085793,0,High,FC09,None,Tt,Sp/None,MIXED/THETE,1,0.8911
6029A,6029,A,NA,NA,0.04313,NA,9e-5,NA,9e-5,NA,0.04313,NA,NA,NA,NA,9e-5,0.04313,NA,NA,NA,0.20823692734844979,0,0,0,Low,FC08,Tt,Tt,Tt/Tt,Tt/Tt,1,0.10289
