Plant,competitors,N_level,competitors_attempted,total_root_mass,percent_col_overall,percent_col_Sp,percent_col_Tt,total_biomass,Batch
6074,None/None,Low,None/None,0.7074499999999999,0,0,0,1.2405899999999999,FC08
6075,Tt/Tt,Low,Tt/Tt,0.74612,22.670509125840535,0,22.670509125840535,1.33122,FC10
6076,Tt/None,Low,Sp/None,0.5398000000000001,0,0,0,1.1578,FC10
6077,Sp/Sp,Low,Sp/Sp,0.80593,11.187739463601533,11.187739463601533,0,1.5761500000000002,FC03
6078,Tt/Sp,Low,Tt/Sp,0.40114000000000005,21.9271319898572,5.004671026291206,16.922460963565996,0.7889200000000001,FC04
6079,Sp/None,Low,Sp/None,0.4413,5.391304347826088,5.391304347826088,0,0.89617,FC06
6080,Tt/Tt,Low,Tt/Tt,0.76397,27.624755099688826,0,27.624755099688826,1.26272,FC06
6084,Sp/Sp,Low,Sp/Sp,1.49508,29.30207778369738,29.30207778369738,0,2.64134,FC04
6085,Tt/Sp,Low,Tt/Sp,0.52894,38.41187863137509,1.6139444803098775,36.797934151065206,1.13925,FC06
6087,Tt/Tt,High,Tt/Tt,1.3504999999999998,25.624999999999996,0,25.624999999999996,5.08499,FC09
6088,Tt/Tt,Low,None/None,0.8157300000000001,32.81162660704304,0,32.81162660704304,1.66522,FC01
6090,Tt/None,High,Tt/None,1.65838,25.89916880292084,0,25.89916880292084,4.5864,FC12
6091,Tt/None,High,Sp/None,1.16593,48.501541084661284,0,48.501541084661284,3.39161,B03
6092,Sp/Sp,Low,Sp/Sp,0.59518,3.646685268931011,3.646685268931011,0,1.3055400000000001,FC08
6093,Tt/Tt,High,Tt/None,2.06933,35.278263187512955,0,35.278263187512955,6.4305,FC15
6094,Tt/Tt,High,Sp/None,2.20593,37.60766165316879,0,37.60766165316879,6.41683,FC12
6096,Tt/None,Low,None/None,0.41374,0,0,0,0.85343,FC04
6097,Tt/Tt,High,Tt/Sp,0.9662499999999999,28.622679769146778,0,28.622679769146778,2.7255,FC05
6099,Tt/Tt,High,None/None,1.91595,22.995780590717295,0,22.995780590717295,5.94485,FC16
6100,Tt/Tt,Low,Tt/None,0.6998599999999999,23.694585244186985,0,23.694585244186985,1.28321,FC01
6101,Tt/None,Low,None/None,0.7572300000000001,12.878464818763327,0,12.878464818763327,1.55521,FC08
6102,Tt/Tt,High,None/None,2.2843,44.83318304779081,0,44.83318304779081,6.32642,FC16
6103,Tt/Tt,High,Tt/Tt,1.53588,22.670974690360797,0,22.670974690360797,5.81036,FC16
6104,Tt/Tt,Low,Sp/None,0.94719,27.814486971699292,0,27.814486971699292,1.8142099999999999,FC03
6106,Tt/Sp,High,Tt/Sp,1.20702,13.127147766323024,0,13.127147766323024,4.272530000000001,B04
