Plant,Side,mycofungus,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,hyphae.pctC,mycorrhizas.pctC,uncolonized_roots.pctC,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,hyphae.pctN,mycorrhizas.pctN,uncolonized_roots.pctN,enriched,received15N,N_level,Failed_split,Fungi,compartment_fungus,dead_tissue,mycorrhizas,other,roots,percent_col,Batch,Fungus_attempted,competitors,attempted,Plantside,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,mycologN15,nmlogN15,competition_treatment,hyphae.ppm13Cexcess
6024,a,Tt,0.023119612149667512,0.03225234172026625,0.02675752004110965,40,47.7,48.9,0.0018539087055960413,0.0012152733508291602,-7.152798756333567e-4,2.5,2.4,1.8,1,N,High,N,Tt/Tt,Tt,NA,0.0259,NA,0.10700000000000001,19.488337095560567,FC14,Tt,Tt/Tt,Tt/None,6024 A,0,322.52341720266253,267.5752004110965,12.152733508291602,-7.152798756333567,5.776175745080866,5.589400649860522,3.4491350283649105,2.498778725980986,Self,231.19612149667512
6024,b,Tt,0.12167707452960985,0.03097759748923634,0.022097432765042058,20.8,46.3,48.6,0.015788718203993857,0.005280503730484332,7.31780560786488e-6,2,2.8,1.7,1,Y,High,N,Tt/Tt,Tt,NA,0.0189,NA,0.0393,32.47422680412371,FC14,None,Tt/Tt,Tt/None,6024 B,0,309.7759748923634,220.97432765042058,52.80503730484332,0.0731780560786488,5.7358493745958645,5.398046530292403,4.278407115656774,2.964943201938881,Self,1216.7707452960985
6025,a,Tt,0.01962433072348735,0.018668031441723798,0.03831791573269672,10.5,33.3,42.8,0.0026421559113664617,0.003809906623017445,0.0024742894961665707,0.8,1.4,1.1,1,Y,High,N,Tt/Sp,Tt,NA,0.01655,NA,0.042460000000000005,28.04609388239281,FC07,Tt,Tt/Sp,Tt/Sp,6025 A,0,186.68031441723798,383.1791573269672,38.09906623017445,24.742894961665705,5.229397605337953,5.948502653508289,4.050383790385085,3.7856276584833566,Other,196.2433072348735
6032,a,Tt,0.0012645511855917668,0.003936487771094566,0.007531828953323494,39.4,45.5,NA,-0.002266345647666146,-4.92660280919266e-4,-0.0012663588894937794,1.7,0.8,0.5,1,N,Low,N,Tt/Tt,Tt,NA,0.02623,NA,0.03577,42.306451612903224,FC04,Tt,Tt/Tt,Tt/Tt,6032 A,0,39.364877710945656,75.31828953323495,-4.9266028091926595,-12.663588894937794,3.6728739900888807,4.3217229942007,2.666799005178709,1.895644107343931,Self,12.645511855917668
6032,b,Tt,0.004508241460242202,0.005574764331746751,0.007850669224038764,15.1,43.9,50.4,-6.860838065314567e-4,-7.444759618465691e-4,-8.57610957542998e-4,0.7,1,0.6,1,Y,Low,N,Tt/Tt,Tt,NA,0.02386,NA,0.04517,34.564682022309135,FC04,Tt,Tt/Tt,Tt/Tt,6032 B,0,55.74764331746751,78.50669224038765,-7.444759618465691,-8.57610957542998,4.0208351371143065,4.363183872624569,2.474491265550675,2.374376689965148,Self,45.08241460242202
6033,a,Sp,0.004310327469668529,0.010269390542044343,NA,19.1,30.7,NA,1.9343975319130458e-4,8.320882079917435e-4,NA,1,1.4,NA,1,N,Low,N,Sp/Sp,Sp,0.00296,0.0094,NA,0.02336,28.693528693528698,FC01,Sp,Sp/Sp,Sp/Sp,6033 A,0,102.69390542044343,NA,8.320882079917435,NA,4.631752771653105,NA,3.3193112378362724,NA,Self,43.10327469668529
6033,b,Sp,0.018448189912061874,0.02005301060536402,0.006311421339885381,23.1,32.2,41.9,0.0047805785672452306,0.0015035726104622449,-9.34250939317427e-4,1.1,1.8,0.9,1,Y,Low,N,Sp/Sp,Sp,NA,0.00314,NA,0.05809,5.128205128205128,FC01,Sp,Sp/Sp,Sp/Sp,6033 B,0,200.5301060536402,63.11421339885381,15.035726104622448,-9.34250939317427,5.300964390355507,4.144945996144571,3.5367810343692243,2.3003740746897035,Self,184.48189912061875
6035,b,Tt,0.00681717950039773,0.005574764331746751,0.00857629803998261,41.6,47.1,48.2,0.008163185990416322,-9.121762463820682e-5,-3.028869856829264e-4,2.2,1.3,0.9,1,Y,Low,N,Tt/Tt,Tt,NA,0.00437,NA,0.02195,16.60334346504559,FC13,Tt,Tt/Tt,Tt/Tt,6035 B,0,55.74764331746751,85.7629803998261,-0.9121762463820682,-3.028869856829264,4.0208351371143065,4.451587449515107,2.912798791840597,2.790646800404611,Self,68.1717950039773
6038,a,Tt,0.02097630849866916,0.06400045049432634,NA,40.3,44.9,NA,3.613138545441319e-4,-4.6711383368225334e-4,NA,2.2,2.4,NA,1,N,High,N,Tt/Tt,Tt,NA,0.0095,NA,0.18480000000000002,4.889346371590323,FC14,Tt,Tt/Tt,Tt/Tt,6038 A,0,640.0045049432634,NA,-4.671138336822533,NA,6.4614752153027935,NA,2.6843915491749786,NA,Self,209.7630849866916
6049,a,Tt,0.014282008177049388,0.05637837019392866,0.02185562379867756,10,37.1,44.5,0.0018320127718325363,0.004565280783437431,2.9214541416577866e-5,0.7,2.8,1.7,1,Y,High,N,Tt/None,Tt,0.02036,0.0172,NA,0.08981,16.073264180917672,FC02,Tt,Tt/None,Tt/None,6049 A,0,563.7837019392866,218.55623798677559,45.65280783437431,0.29214541416577866,6.334670670740519,5.387043363509063,4.1739753615270345,2.976170638731176,None,142.82008177049389
