Plant,Side,mycofungus,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,hyphae.pctC,mycorrhizas.pctC,uncolonized_roots.pctC,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,hyphae.pctN,mycorrhizas.pctN,uncolonized_roots.pctN,enriched,received15N,N_level,Failed_split,Fungi,compartment_fungus,dead_tissue,mycorrhizas,other,roots,percent_col,Batch,Fungus_attempted,attempted,Plantside,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,mycologN15,nmlogN15,competition_treatment
6019,a,Sp,NA,0.0314281573949684,0.009356886849290369,NA,23,45.2,NA,0.014271001976754571,-7.116303660598677e-4,NA,1.3,0.9,1,Y,Low,N,Sp/Sp,SUIPU,0.03587,0.0185,NA,0.020040000000000002,NA,FC13,Sp,Sp/Sp,6019 A,0,314.28157394968406,93.56886849290369,142.7100197675457,-7.116303660598677,5.750289316407859,4.538697726587834,5.087784239815987,2.501773597561361,0
6019,b,Sp,NA,0.023801053334227884,0.007136024378321171,NA,32.8,42.8,NA,9.125524060649148e-5,-2.6274272740728355e-4,NA,1.1,0.8,1,N,Low,N,Sp/Sp,SUIPU,5.5e-4,0.00259,NA,0.049569999999999996,NA,FC13,Sp,Sp/Sp,6019 B,0,238.01053334227885,71.3602437832117,0.9125524060649148,-2.6274272740728355,5.472314930432797,4.267740904510477,3.0073137506516807,2.814989251881436,0
6020,a,Sp,NA,0.0250540013276197,0.010720139165737885,NA,20.1,40.8,NA,2.0438808139339182e-4,-4.744128172703421e-4,NA,0.7,0.6,1,N,Low,N,Sp/Sp,SUIPU,NA,0,NA,0.07132,0,FC11,Sp,Sp/Sp,6020 A,0,250.54001327619702,107.20139165737885,2.043880813933918,-4.744128172703421,5.523618641406373,4.674709230430972,3.0617215129409443,2.6793966107863936,0
6020,b,Sp,NA,0.03720814712046905,0.010676163871104594,NA,36,42.7,NA,0.0022991239380654727,-3.1018594520865195e-4,NA,1.3,0.5,1,Y,Low,N,Sp/Sp,SUIPU,0.01921,0.00283,NA,0.03295,NA,FC11,Sp,Sp/Sp,6020 B,0,372.0814712046905,106.76163871104593,22.991239380654726,-3.1018594520865195,5.919112838909021,4.670598673903777,3.745062769461558,2.786156523378718,0
6021,a,Tt,0.003089840360507967,0.005014018060299774,0.0025180702741527394,24.2,38.7,45.6,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,0.7,0.9,0.6,1,Y,Low,N,Tt/Tt,THETE,NA,0.01844,NA,0.040319999999999995,31.381892443839355,FC13,Tt,Tt/None,6021 A,0,50.140180602997745,25.180702741527394,-0.6932084551769524,-3.35732311970649,3.9148226946980866,3.226077936945084,2.9246236930300373,2.770279841038147,0
6021,b,Tt,0.0017923525687293385,0.004057436218082744,0.002408113730523853,21.5,38.9,44.4,-0.001134975259897697,-2.992375063211039e-4,-9.597976261104813e-4,0.7,NA,0.4,1,N,Low,N,Tt/Tt,THETE,NA,0.0074400000000000004,NA,0.09323000000000001,7.3904837588159324,FC13,None,Tt/None,6021 B,0,40.574362180827436,24.08113730523853,-2.992375063211039,-9.597976261104812,3.7031363937657633,3.1814288496092975,2.7928844002657858,2.2744373742309616,0
6022,a,Tt,NA,0.018711999630377507,0.026317907926934447,NA,26.5,43.5,NA,4.016290571162706e-5,-3.6305659057433992e-6,NA,NA,1.4,1,Y,High,N,Tt/Tt,THETE,NA,0.0427,NA,0.0451,48.63325740318907,FC07,Tt,Tt/Tt,6022 A,0,187.11999630377508,263.17907926934447,0.4016290571162706,-0.03630565905743399,5.231750102522691,5.5728347102332565,2.981737435656499,2.9592818543466093,0
6022,b,Tt,NA,0.022097432765042058,0.023185558481169988,NA,35.5,37.6,NA,9.999601571684114e-4,-3.028869856829264e-4,NA,2.3,1.4,1,N,High,N,Tt/Tt,THETE,NA,0.03,NA,0.06075,33.057851239669425,FC07,Tt,Tt/Tt,6022 B,0,220.97432765042058,231.85558481169988,9.999601571684114,-3.028869856829264,5.398046530292403,5.4461146985857445,3.3782707367322686,2.790646800404611,0
6023,a,Tt,0.02202049367673209,0.028526919277042095,0.026229985035095993,40.7,NA,46.4,0.00749908917032216,0.009812443091747558,0.003120207168362532,2.7,2.5,1.7,1,Y,High,N,Tt/Tt,THETE,NA,0.0198,NA,0.0394,33.44594594594595,FC14,Tt,Tt/Tt,6023 A,0,285.26919277042094,262.2998503509599,98.12443091747558,31.20207168362532,5.653433270511743,5.569488316346397,4.7659689004612265,3.9224186889537465,0
6023,b,Tt,NA,0.0525339357059178,0.02879067523123502,NA,49.5,46.8,NA,0.0018356620947948543,-0.0011641715920852058,NA,2.7,2.9,1,N,High,N,Tt/Tt,THETE,NA,0.0027,NA,0.0446,5.708245243128964,FC14,Tt,Tt/Tt,6023 B,0,525.339357059178,287.9067523123502,18.356620947948542,-11.641715920852057,6.264044448167182,5.6626366510157276,3.6290510120004877,2.038451266631911,0
