Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,tissue,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment,pctC,pctN,CNratio
6035,b,0.00681717950039773,0.005574764331746751,0.00857629803998261,THETE,0.008163185990416322,-9.121762463820682e-5,-3.028869856829264e-4,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,47.1,1.3,36.6
6036,a,NA,0.013061767126727464,0.005904612109858043,SUIPU,NA,-1.4231014668225628e-4,-0.0010181901022610629,uncolonized_roots,1,N,Low,N,SUIPU/SUIPU,SUIPU,50.3,0.6,87
6036,b,NA,0.004387294115665963,0.005233919316637747,SUIPU,NA,5.1111267600434385e-5,-1.9340272112816637e-4,uncolonized_roots,1,Y,Low,N,SUIPU/SUIPU,SUIPU,42.7,0.6,72.6
6038,a,0.02097630849866916,0.06400045049432634,NA,THETE,3.613138545441319e-4,-4.6711383368225334e-4,NA,mycorrhizas,1,N,High,N,THETE/THETE,THETE,44.9,2.4,18.9
6038,b,NA,0.04125154051905788,0.01773369819095838,THETE,NA,0.004200367160267726,-1.3866067908407942e-4,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,48.1,1.8,26.6
6039,a,NA,0.0032547728109193486,0.0035516498356618076,THETE,NA,-4.707633253426269e-4,-5.765986997945394e-4,uncolonized_roots,1,N,Low,N,THETE/NM,THETE,46.5,0.5,99.4
6039,b,NA,NA,0.0038375297308359535,NM,NA,NA,-1.861037787133646e-4,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,56.5,0.8,74.7
6040,a,NA,0.014820663566123882,0.008235473709920615,THETE,NA,5.729803933919309e-4,-3.5397972482137385e-4,mycorrhizas,1,N,High,N,THETE/NM,THETE,39.4,3.6,10.9
6040,b,NA,NA,0.007542823479634642,NM,NA,NA,-9.30601413702159e-4,uncolonized_roots,1,Y,High,N,THETE/NM,NM,44.3,1.5,29.4
6041,a,NA,0.021086223766257683,0.010445292932755423,SUIPU,NA,1.6059475414781366e-4,-8.39363360213452e-4,mycorrhizas,1,N,High,N,THETE/SUIPU,SUIPU,14.9,1.2,12.4
6041,b,NA,0.12292754376658754,0.014007181738600716,THETE,NA,0.044999390699924036,0.0029632900859812294,uncolonized_roots,1,Y,High,N,THETE/SUIPU,THETE,36.9,1.2,31.1
6043,a,NA,0.038889272037155864,0.013523483497465794,SUIPU,NA,6.569168752761922e-4,-0.0014378880385196857,uncolonized_roots,1,N,High,N,SUIPU/SUIPU,SUIPU,39.6,0.9,42.4
6043,b,NA,0.06071673002756617,0.012611039844925731,SUIPU,NA,-2.0800060916620344e-4,-7.371769386890215e-4,mycorrhizas,1,Y,High,N,SUIPU/SUIPU,SUIPU,28.1,1.9,14.6
6044,a,NA,0.008356411644273587,0.0037055853691632112,THETE,NA,-2.9176775461658977e-5,-5.765986997945394e-4,uncolonized_roots,1,N,Low,N,THETE/THETE,THETE,43.7,0.6,78.6
6044,b,NA,0.007894647031101654,0.00875220645266328,THETE,NA,-1.861037787133646e-4,-1.2771227789387662e-4,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,47.6,1,48.2
6045,a,NA,0.0031887998967550235,0.0050470033110803225,THETE,NA,5.1111267600434385e-5,-5.474027119702352e-4,mycorrhizas,1,N,Low,N,THETE/THETE,THETE,44.1,0.9,51.1
6045,b,NA,0.00647634304745992,0.004882076837188887,THETE,NA,-2.3719639807545656e-4,-0.001321102170759536,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,46.4,0.6,83.4
6048,a,NA,NA,0.008609280915019113,NM,NA,NA,-6.824342990967569e-4,uncolonized_roots,1,N,High,N,THETE/NM,NM,42.8,1.5,27.8
6048,b,NA,0.031658930390853435,0.010016529759296011,THETE,NA,0.0048754552613339275,-1.4231014668225628e-4,mycorrhizas,1,Y,High,N,THETE/NM,THETE,40.4,2.7,15.1
6049,a,0.014282008177049388,0.05637837019392866,0.02185562379867756,THETE,0.0018320127718325363,0.004565280783437431,2.9214541416577866e-5,mycorrhizas,1,Y,High,N,THETE/NM,THETE,37.1,2.8,13.3
6049,b,NA,NA,0.013699374314350976,NM,NA,NA,-0.001321102170759536,uncolonized_roots,1,N,High,N,THETE/NM,NM,45.8,1.6,27.9
6050,a,NA,0.022657985366622002,0.00862027520181008,SUIPU,NA,-1.2041334510382029e-4,-0.001456135855088636,mycorrhizas,1,N,High,N,SUIPU/SUIPU,SUIPU,14.9,1.2,12.3
6050,b,NA,0.02149290813204563,0.009884601881156252,SUIPU,NA,2.0438808139339182e-4,-9.926433855231842e-4,mycorrhizas,1,Y,High,N,SUIPU/SUIPU,SUIPU,22.5,1.8,12.8
6051,a,NA,NA,0.007575807043903815,NM,NA,NA,-4.853612946576491e-4,uncolonized_roots,1,Y,High,N,THETE/NM,NM,43.8,1.2,36.3
6051,b,NA,0.02173471887207934,0.005860632533211341,THETE,NA,0.00168603963412145,-1.642069578853267e-4,uncolonized_roots,1,N,High,N,THETE/NM,THETE,44.7,1.6,27.9
6052,a,NA,0.008950102669053717,0.011599636847000827,THETE,NA,9.233230331580633e-4,-0.0010729331108141893,mycorrhizas,1,Y,High,N,MIXED/THETE,THETE,32.1,1.4,23.5
6052,b,NA,NA,0.0226030295101598,NM,NA,NA,-8.904566495800958e-4,uncolonized_roots,1,N,High,N,MIXED/THETE,MIXED,42.6,1.6,26.5
6052,b,NA,0.11250599950724904,NA,SUIPU,NA,8.030688754029347e-5,NA,mycorrhizas,1,N,High,N,MIXED/THETE,MIXED,18.9,1.8,10.4
6052,b,NA,0.12205002480748939,NA,THETE,NA,2.773768745827909e-4,NA,mycorrhizas,1,N,High,N,MIXED/THETE,MIXED,35.5,2.4,14.8
6053,a,NA,0.0031887998967550235,0.003452691025413346,THETE,NA,-2.8463959154723106e-4,-6.641867659340495e-4,uncolonized_roots,1,Y,Low,N,THETE/SUIPU,THETE,43.7,0.5,84.1
6053,b,NA,0.011511687782703506,0.007641774106450949,SUIPU,NA,5.218885525661299e-4,-4.963097744511424e-4,mycorrhizas,1,N,Low,N,THETE/SUIPU,SUIPU,37.2,0.9,40.7
6054,a,NA,0.0038375297308359535,0.0035846360617450834,THETE,NA,-2.5527316151574553e-5,-9.85165531504073e-5,uncolonized_roots,1,N,Low,N,THETE/NM,THETE,44.9,0.7,66.8
6054,b,NA,NA,0.004024450307327898,NM,NA,NA,-4.56165360305294e-4,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,43.8,0.8,57.9
6055,a,0.001605423556345853,0.0054758095693441255,0.009290922074382202,THETE,-3.1748490580379984e-4,-7.116303660598677e-4,-0.001390443746722314,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,47,2.3,20.4
6055,b,0.0012205674827603374,0.008598286625784546,0.008664252324532384,THETE,9.634663032961899e-4,-1.7880483736792963e-4,-8.831576050337131e-4,mycorrhizas,1,N,High,N,THETE/THETE,THETE,39.3,3,13
6056,a,NA,NA,0.005431829611391992,NM,NA,NA,-2.0435113675570937e-4,uncolonized_roots,1,N,Low,N,MIXED/SUIPU,MIXED,48.1,0.7,67.4
6056,a,NA,0.022526091208506127,NA,SUIPU,NA,2.8467574801988027e-4,NA,mycorrhizas,1,N,Low,N,MIXED/SUIPU,MIXED,26.8,0.8,33.5
6056,b,NA,0.004475255850144633,0.004134403257624486,SUIPU,NA,0.0011276884351851257,-5.10907751252343e-4,uncolonized_roots,1,Y,Low,N,MIXED/SUIPU,SUIPU,46.9,0.7,66.7
