Plant,Side,mycofungus,dead_tissue,mycorrhizas,other,roots,percent_col,N_level,Batch,Fungus_attempted,compartment_fungus,competitors,attempted,enriched,Plantside
6057,A,Tt,0.00511,0.01115,NA,0.02152,34.12917049280686,Low,FC01,Sp,Mixed,MIXED/THETE,Sp/None,1,6057 A
6057,A,Sp,NA,0.00259,NA,NA,100,Low,FC01,Sp,Mixed,MIXED/THETE,Sp/None,1,6057 A
6057,B,Tt,NA,0.02002,NA,0.04595,30.347127482188874,Low,FC01,None,Tt,MIXED/THETE,Sp/None,1,6057 B
6058,A,NA,NA,0,NA,0.03195,0,Low,FC13,None,None,None/None,None/None,1,6058 A
6058,B,NA,NA,0,NA,0.07091,0,Low,FC13,None,None,None/None,None/None,1,6058 B
6061,A,NA,NA,0,NA,0.0222,0,Low,FC01,None,None,Tt/None,None/None,1,6061 A
6061,B,Tt,NA,0.00306,NA,0.05926,4.910141206675224,Low,FC01,None,Tt,Tt/Tt,None/None,1,6061 B
6062,A,Sp,9e-4,0.00143,NA,0.040459999999999996,3.413702554308905,Low,FC03,Sp,Sp,Sp/None,Sp/Sp,1,6062 A
6062,B,NA,5.6e-4,0,NA,0.04939,0,Low,FC03,Sp,None,Sp/None,Sp/Sp,1,6062 B
6063,A,Sp,0.0031,0.0122,NA,0.06801,15.210073556913104,High,FC02,Sp,Sp,Sp/None,Sp/Sp,1,6063 A
6063,B,NA,NA,0,NA,0.0335,0,High,FC02,Sp,None,Sp/None,Sp/Sp,1,6063 B
6064,A,Sp,0.0124,0.00185,NA,0.04229,4.191209787041233,High,FC05,Sp,Sp,Tt/Sp,Sp/Sp,1,6064 A
6064,B,Tt,NA,0.00667,NA,0.032189999999999996,17.16417910447761,High,FC05,Sp,Tt,Tt/Sp,Sp/Sp,1,6064 B
6065,A,Tt,NA,0.04468,NA,0.03701,54.694577059615625,High,FC12,None,Tt,Tt/Tt,None/None,1,6065 A
6065,B,Tt,NA,0.01168,NA,0.12567,8.503822351656352,High,FC12,None,Tt,Tt/Tt,None/None,1,6065 B
6066,A,Tt,NA,0.03796,NA,0.0557,40.52957505872305,High,FC12,Tt,Tt,Tt/Tt,Tt/Sp,1,6066 A
6066,B,Tt,NA,0.00971,NA,0.03839,20.187110187110186,High,FC12,Sp,Tt,Tt/Tt,Tt/Sp,1,6066 B
6067,A,Tt,NA,0.01886,NA,0.0349,35.081845238095234,Low,FC03,Tt,Tt,MIXED/THETE,Tt/Sp,1,6067 A
6067,B,Tt,NA,0.02345,NA,0.01476,61.37136875163569,Low,FC03,Sp,Mixed,MIXED/THETE,Tt/Sp,1,6067 B
6067,B,Sp,0.00488,0.00213,NA,NA,100,Low,FC03,Sp,Mixed,MIXED/THETE,Tt/Sp,1,6067 B
6068,A,NA,NA,0,NA,0.03422,0,High,FC05,None,None,Tt/None,None/None,1,6068 A
6068,B,Tt,0.0053,0.01874,NA,0.036449999999999996,33.95542670773691,High,FC05,None,Tt,Tt/None,None/None,1,6068 B
6069,A,Tt,NA,0.00352,NA,0.02879,10.89445991952956,Low,FC11,Tt,Tt,Tt/None,Tt/None,1,6069 A
6069,B,NA,NA,0,NA,0.07164,0,Low,FC11,None,None,Tt/None,Tt/None,1,6069 B
