Plant,Side,mycofungus,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,hyphae.pctC,mycorrhizas.pctC,uncolonized_roots.pctC,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,hyphae.pctN,mycorrhizas.pctN,uncolonized_roots.pctN,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment
6029,b,THETE,NA,0.008884137351575339,0.010401317393731846,NA,46.9,46.4,NA,1.8249142258303097e-4,-4.707633253426269e-4,NA,1.5,0.8,1,Y,Low,N,THETE/THETE,THETE
6030,a,THETE,NA,0.017304998203153454,0.009554780646113148,NA,38.5,46.9,NA,-3.5033024171648997e-4,-8.50311917809099e-4,NA,1,0.4,1,N,Low,N,THETE/THETE,THETE
6030,b,THETE,NA,NA,0.013094747010451213,NA,NA,44.8,NA,NA,-0.001175120221067083,NA,NA,0.6,1,Y,Low,N,THETE/THETE,THETE
6031,a,THETE,NA,0.006597285283492793,0.005948591647396917,NA,33.5,45,NA,-6.49588744216334e-4,-7.992186696161863e-4,NA,0.7,0.6,1,Y,Low,N,THETE/NM,THETE
6031,b,NM,NA,NA,0.009455833846683026,NA,NA,42.9,NA,NA,-1.2771227789387662e-4,NA,NA,0.8,1,N,Low,N,THETE/NM,NM
6032,a,THETE,0.0012645511855917668,0.003936487771094566,0.007531828953323494,39.4,45.5,NA,-0.002266345647666146,-4.92660280919266e-4,-0.0012663588894937794,1.7,0.8,0.5,1,N,Low,N,THETE/THETE,THETE
6032,b,THETE,0.004508241460242202,0.005574764331746751,0.007850669224038764,15.1,43.9,50.4,-6.860838065314567e-4,-7.444759618465691e-4,-8.57610957542998e-4,0.7,1,0.6,1,Y,Low,N,THETE/THETE,THETE
6033,a,SUIPU,0.004310327469668529,0.010269390542044343,NA,19.1,30.7,NA,1.9343975319130458e-4,8.320882079917435e-4,NA,1,1.4,NA,1,N,Low,N,SUIPU/SUIPU,SUIPU
6033,b,SUIPU,0.018448189912061874,0.02005301060536402,0.006311421339885381,23.1,32.2,41.9,0.0047805785672452306,0.0015035726104622449,-9.34250939317427e-4,1.1,1.8,0.9,1,Y,Low,N,MIXED/SUIPU,SUIPU
6034,a,THETE,NA,0.01450186822817523,0.02051466170688876,NA,35.7,41.8,NA,4.963426125029202e-4,-3.7952611404140635e-4,NA,3.6,1.9,1,Y,High,N,MIXED/THETE,THETE
6034,b,SUIPU,NA,0.0015174567178264375,NA,NA,21.5,NA,NA,0.0017663249127961578,NA,NA,0.8,NA,1,N,High,N,MIXED/THETE,MIXED
6034,b,THETE,NA,0.005915606997909162,NA,NA,27.6,NA,NA,0.002521730062153449,NA,NA,1.5,NA,1,N,High,N,MIXED/THETE,MIXED
6035,a,THETE,NA,0.0064653482840644205,0.006344405725396074,NA,46.7,43.6,NA,-6.202192128318407e-5,-9.486708876055294e-5,NA,1.4,0.8,1,N,Low,N,THETE/THETE,THETE
6035,b,THETE,0.00681717950039773,0.005574764331746751,0.00857629803998261,41.6,47.1,48.2,0.008163185990416322,-9.121762463820682e-5,-3.028869856829264e-4,2.2,1.3,0.9,1,Y,Low,N,THETE/THETE,THETE
6036,a,SUIPU,NA,0.013061767126727464,0.005904612109858043,NA,38.4,50.3,NA,-1.4231014668225628e-4,-0.0010181901022610629,NA,1,0.6,1,N,Low,N,SUIPU/SUIPU,SUIPU
6036,b,SUIPU,NA,0.004387294115665963,0.005233919316637747,NA,45.3,42.7,NA,5.1111267600434385e-5,-1.9340272112816637e-4,NA,1.3,0.6,1,Y,Low,N,SUIPU/SUIPU,SUIPU
6038,a,THETE,0.02097630849866916,0.06400045049432634,NA,40.3,44.9,NA,3.613138545441319e-4,-4.6711383368225334e-4,NA,2.2,2.4,NA,1,N,High,N,THETE/THETE,THETE
6038,b,THETE,NA,0.04125154051905788,0.01773369819095838,NA,42.9,48.1,NA,0.004200367160267726,-1.3866067908407942e-4,NA,2.1,1.8,1,Y,High,N,THETE/THETE,THETE
6039,a,THETE,NA,0.0032547728109193486,0.0035516498356618076,NA,37.4,46.5,NA,-4.707633253426269e-4,-5.765986997945394e-4,NA,0.7,0.5,1,N,Low,N,THETE/NM,THETE
6039,b,NM,NA,NA,0.0038375297308359535,NA,NA,56.5,NA,NA,-1.861037787133646e-4,NA,NA,0.8,1,Y,Low,N,THETE/NM,NM
6040,a,THETE,NA,0.014820663566123882,0.008235473709920615,NA,39.4,42,NA,5.729803933919309e-4,-3.5397972482137385e-4,NA,3.6,1.3,1,N,High,N,THETE/NM,THETE
6040,b,NM,NA,NA,0.007542823479634642,NA,NA,44.3,NA,NA,-9.30601413702159e-4,NA,NA,1.5,1,Y,High,N,THETE/NM,NM
6041,a,SUIPU,NA,0.021086223766257683,0.010445292932755423,NA,14.9,47.6,NA,1.6059475414781366e-4,-8.39363360213452e-4,NA,1.2,1.3,1,N,High,N,THETE/SUIPU,SUIPU
6041,b,THETE,NA,0.12292754376658754,0.014007181738600716,NA,47.9,36.9,NA,0.044999390699924036,0.0029632900859812294,NA,3,1.2,1,Y,High,N,THETE/SUIPU,THETE
6043,a,SUIPU,NA,0.038889272037155864,0.013523483497465794,NA,28.7,39.6,NA,6.569168752761922e-4,-0.0014378880385196857,NA,2.2,0.9,1,N,High,N,SUIPU/SUIPU,SUIPU
6043,b,SUIPU,NA,0.06071673002756617,0.012611039844925731,NA,28.1,45.6,NA,-2.0800060916620344e-4,-7.371769386890215e-4,NA,1.9,1,1,Y,High,N,SUIPU/SUIPU,SUIPU
6044,a,THETE,NA,0.008356411644273587,0.0037055853691632112,NA,47.1,43.7,NA,-2.9176775461658977e-5,-5.765986997945394e-4,NA,0.9,0.6,1,N,Low,N,THETE/THETE,THETE
6044,b,THETE,NA,0.007894647031101654,0.00875220645266328,NA,47.6,47,NA,-1.861037787133646e-4,-1.2771227789387662e-4,NA,1,0.7,1,Y,Low,N,THETE/THETE,THETE
6045,a,THETE,NA,0.0031887998967550235,0.0050470033110803225,NA,44.1,44.2,NA,5.1111267600434385e-5,-5.474027119702352e-4,NA,0.9,0.6,1,N,Low,N,THETE/THETE,THETE
6045,b,THETE,NA,0.00647634304745992,0.004882076837188887,NA,39.5,46.4,NA,-2.3719639807545656e-4,-0.001321102170759536,NA,0.9,0.6,1,Y,Low,N,THETE/THETE,THETE
6048,a,NM,NA,NA,0.008609280915019113,NA,NA,42.8,NA,NA,-6.824342990967569e-4,NA,NA,1.5,1,N,High,N,THETE/NM,NM
6048,b,THETE,NA,0.031658930390853435,0.010016529759296011,NA,40.4,41.5,NA,0.0048754552613339275,-1.4231014668225628e-4,NA,2.7,1.5,1,Y,High,N,THETE/NM,THETE
6049,a,THETE,0.014282008177049388,0.05637837019392866,0.02185562379867756,10,37.1,44.5,0.0018320127718325363,0.004565280783437431,2.9214541416577866e-5,0.7,2.8,1.7,1,Y,High,N,THETE/NM,THETE
6049,b,NM,NA,NA,0.013699374314350976,NA,NA,45.8,NA,NA,-0.001321102170759536,NA,NA,1.6,1,N,High,N,THETE/NM,NM
6050,a,SUIPU,NA,0.022657985366622002,0.00862027520181008,NA,14.9,44.3,NA,-1.2041334510382029e-4,-0.001456135855088636,NA,1.2,1.4,1,N,High,N,SUIPU/SUIPU,SUIPU
6050,b,SUIPU,NA,0.02149290813204563,0.009884601881156252,NA,22.5,33.4,NA,2.0438808139339182e-4,-9.926433855231842e-4,NA,1.8,1.4,1,Y,High,N,SUIPU/SUIPU,SUIPU
6051,a,NM,NA,NA,0.007575807043903815,NA,NA,43.8,NA,NA,-4.853612946576491e-4,NA,NA,1.2,1,Y,High,N,THETE/NM,NM
6051,b,THETE,NA,0.02173471887207934,0.005860632533211341,NA,31.1,44.7,NA,0.00168603963412145,-1.642069578853267e-4,NA,2.1,1.6,1,N,High,N,THETE/NM,THETE
6052,a,THETE,NA,0.008950102669053717,0.011599636847000827,NA,32.1,46.6,NA,9.233230331580633e-4,-0.0010729331108141893,NA,1.4,1.3,1,Y,High,N,MIXED/THETE,THETE
6052,b,NM,NA,NA,0.0226030295101598,NA,NA,42.6,NA,NA,-8.904566495800958e-4,NA,NA,1.6,1,N,High,N,MIXED/THETE,MIXED
6052,b,SUIPU,NA,0.11250599950724904,NA,NA,18.9,NA,NA,8.030688754029347e-5,NA,NA,1.8,NA,1,N,High,N,MIXED/THETE,MIXED
6052,b,THETE,NA,0.12205002480748939,NA,NA,35.5,NA,NA,2.773768745827909e-4,NA,NA,2.4,NA,1,N,High,N,MIXED/THETE,MIXED
6053,a,THETE,NA,0.0031887998967550235,0.003452691025413346,NA,43.6,43.7,NA,-2.8463959154723106e-4,-6.641867659340495e-4,NA,0.6,0.5,1,Y,Low,N,THETE/SUIPU,THETE
6053,b,SUIPU,NA,0.011511687782703506,0.007641774106450949,NA,37.2,45.6,NA,5.218885525661299e-4,-4.963097744511424e-4,NA,0.9,0.7,1,N,Low,N,THETE/SUIPU,SUIPU
6054,a,THETE,NA,0.0038375297308359535,0.0035846360617450834,NA,45.6,44.9,NA,-2.5527316151574553e-5,-9.85165531504073e-5,NA,1.1,0.7,1,N,Low,N,THETE/NM,THETE
6054,b,NM,NA,NA,0.004024450307327898,NA,NA,43.8,NA,NA,-4.56165360305294e-4,NA,NA,0.8,1,Y,Low,N,THETE/NM,NM
6055,a,THETE,0.001605423556345853,0.0054758095693441255,0.009290922074382202,30.4,44.8,47,-3.1748490580379984e-4,-7.116303660598677e-4,-0.001390443746722314,2.4,2.5,2.3,1,Y,High,N,THETE/THETE,THETE
6055,b,THETE,0.0012205674827603374,0.008598286625784546,0.008664252324532384,14.6,39.3,51.3,9.634663032961899e-4,-1.7880483736792963e-4,-8.831576050337131e-4,0.9,3,2.1,1,N,High,N,THETE/THETE,THETE
6056,a,NM,NA,NA,0.005431829611391992,NA,NA,48.1,NA,NA,-2.0435113675570937e-4,NA,NA,0.7,1,N,Low,N,MIXED/SUIPU,MIXED
6056,a,SUIPU,NA,0.022526091208506127,NA,NA,26.8,NA,NA,2.8467574801988027e-4,NA,NA,0.8,NA,1,N,Low,N,MIXED/SUIPU,MIXED
6056,b,SUIPU,NA,0.004475255850144633,0.004134403257624486,NA,22.7,46.9,NA,0.0011276884351851257,-5.10907751252343e-4,NA,0.6,0.7,1,Y,Low,N,MIXED/SUIPU,SUIPU
6057,a,NM,NA,NA,0.005761678342767418,NA,NA,48.6,NA,NA,-4.598148511635869e-4,NA,NA,0.5,1,Y,Low,N,MIXED/SUIPU,MIXED
6057,a,SUIPU,NA,0.015128464011401555,NA,NA,38.3,NA,NA,3.2846896618499155e-4,NA,NA,1.2,NA,1,Y,Low,N,MIXED/SUIPU,MIXED
6057,a,THETE,NA,0.00975267365108734,NA,NA,42.6,NA,NA,3.9415872124748397e-4,NA,NA,1,NA,1,Y,Low,N,MIXED/SUIPU,MIXED
6057,b,THETE,NA,0.006597285283492793,0.004123407973594562,NA,49.9,43.3,NA,4.016290571162706e-5,-7.335274275114823e-4,NA,1,0.6,1,N,Low,N,THETE/NM,THETE
6058,a,NM,NA,NA,0.003716580746080167,NA,NA,45.9,NA,NA,-2.1877857108831833e-5,NA,NA,0.7,1,Y,Low,N,NM/NM,NM
6058,b,NM,NA,NA,0.005541779432944427,NA,NA,44.3,NA,NA,-2.2624797522935447e-4,NA,NA,0.7,1,N,Low,N,NM/NM,NM
6059,b,THETE,0.005926601883516014,0.017052173391278735,0.012248256365999355,12,40,52.4,0.002003530662064268,4.5619896593568354e-4,-5.911967001233642e-4,0.9,3.5,1.9,1,N,High,Y,THETE,THETE
6061,a,NM,NA,NA,0.007136024378321171,NA,NA,53.5,NA,NA,-0.0012809570919493085,NA,NA,0.9,1,Y,Low,N,THETE/NM,NM
6061,b,THETE,NA,0.007982602527911276,0.006498332566918119,NA,55.5,39.9,NA,-6.860838065314567e-4,-7.225788955825818e-4,NA,1.1,0.5,1,N,Low,N,THETE/NM,THETE
6062,a,SUIPU,0.007641774106450949,0.0548845683090724,0.005068993466045946,22.4,40.4,48,0.002083815429048841,5.218885525661299e-4,-6.787847919293988e-4,0.9,2.1,0.7,1,N,Low,N,SUIPU/NM,SUIPU
6062,b,NM,NA,NA,0.005376854608955428,NA,NA,49,NA,NA,-8.50311917809099e-4,NA,NA,0.8,1,Y,Low,N,SUIPU/NM,NM
6063,a,SUIPU,NA,0.0728840722502695,0.006982099521478657,NA,34.7,43.3,NA,6.569168752761922e-4,-0.001076582646856672,NA,1.7,1.1,1,Y,High,N,SUIPU/NM,SUIPU
6063,b,NM,NA,0.06622974173825558,0.009455833846683026,NA,30,46.3,NA,5.401356445906558e-4,-5.583512053991546e-4,NA,1.6,1.3,1,N,High,N,SUIPU/NM,NM
6064,a,SUIPU,NA,0.011643611320497849,0.006795190122702577,NA,36.8,46,NA,-3.28433348701862e-4,-0.001175120221067083,NA,1.8,1.4,1,Y,High,N,THETE/SUIPU,SUIPU
6064,b,THETE,NA,0.06056297188351012,0.01299580729329941,NA,39.9,45.2,NA,0.0017517275990251435,-6.240422165038062e-4,NA,2.1,1.4,1,N,High,N,THETE/SUIPU,THETE
6065,a,THETE,0.005959586525670968,0.021646787830698067,0.0272850494191359,42.5,29.7,45.5,0.0013028581124819305,1.0967262244421239e-5,-0.0010619845042910137,1.9,1.4,1.8,1,N,High,N,THETE/THETE,THETE
6065,b,THETE,NA,0.01165460493276238,0.027109206918453532,NA,35,47.3,NA,1.313991812624815e-4,-0.0010254891665923416,NA,NA,1.8,1,Y,High,N,THETE/THETE,THETE
6066,a,THETE,0.03315343419488004,0.03793334527160663,0.018360253026545426,24.9,38.1,42.8,1.27749733448701e-4,-2.3719639807545656e-4,-0.0011459238824627627,3.3,2.7,1.6,1,N,High,N,THETE/THETE,THETE
6066,b,THETE,0.0250540013276197,0.046008696835931895,0.018711999630377507,12.8,46.6,41.6,0.001996232040467727,0.002003530662064268,-6.167432109921434e-4,1,2.9,1.3,1,Y,High,N,THETE/THETE,THETE
6067,a,THETE,NA,0.0028259472958422904,NA,NA,43.8,NA,NA,-3.2113438650249737e-4,NA,NA,1,NA,1,N,Low,N,MIXED/THETE,THETE
6067,b,NM,NA,NA,0.0026170309544140125,NA,NA,47.8,NA,NA,-0.00134664905593751,NA,NA,0.8,1,Y,Low,N,MIXED/THETE,MIXED
6067,b,SUIPU,NA,0.00696011021710885,NA,NA,31.8,NA,NA,-1.605574886830441e-4,NA,NA,0.8,NA,1,Y,Low,N,MIXED/THETE,MIXED
6067,b,THETE,NA,0.004431275002460433,NA,NA,46.2,NA,NA,3.6683487040778395e-6,NA,NA,0.9,NA,1,Y,Low,N,MIXED/THETE,MIXED
6068,a,NM,NA,NA,0.0034087092684145226,NA,NA,41.5,NA,NA,-0.0012006670313824408,NA,NA,1.7,1,N,High,N,THETE/NM,NM
6068,b,THETE,0.001990276635336574,0.008125529876608306,0.0021222255730573014,17.3,40.1,45.6,0.0014086894940240624,0.004211314607858063,-0.0010510359001740799,2.1,2.7,1.9,1,Y,High,N,THETE/NM,THETE
6069,a,THETE,0.0027599738096735216,0.005816652917456588,0.006069535173978791,36.4,40.5,44.1,2.5912968631119915e-4,6.824627329953259e-4,3.978081495444874e-4,1.6,0.9,0.6,1,Y,Low,N,THETE/NM,THETE
6069,b,NM,NA,NA,0.008631269486156778,NA,NA,39.6,NA,NA,-2.773406357645114e-4,NA,NA,0.6,1,N,Low,N,THETE/NM,NM
6070,a,THETE,NA,0.03135123282365626,0.029406100319721462,NA,40.5,50.7,NA,0.00275163370347431,-2.6274272740728355e-4,NA,2.6,2.1,1,Y,High,N,THETE/THETE,THETE
