Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched
6024,a,0.023119612149667512,0.03225234172026625,0.02675752004110965,Tt,0.0018539087055960413,0.0012152733508291602,-7.152798756333567e-4,N,High,N,Tt/Tt,Tt,47.7,2.4,19.7,-45.09052025503705,SELF,26.53916643384061,NA,0.0259,NA,0.10700000000000001,19.488337095560567,THETE/THETE,1
6024,b,0.12167707452960985,0.03097759748923634,0.022097432765042058,Tt,0.015788718203993857,0.005280503730484332,7.31780560786488e-6,Y,High,N,Tt/Tt,Tt,48.6,1.7,27.8,4233.181249846659,SELF,5.866409545438396,NA,0.0189,NA,0.0393,32.47422680412371,THETE/THETE,1
6025,a,0.01962433072348735,0.018668031441723798,0.03831791573269672,Tt,0.0026421559113664617,0.003809906623017445,0.0024742894961665707,Y,High,N,Tt/Sp,Tt,10.5,0.8,13.5,7.544804870507786,OTHER,4.8998658730745275,NA,0.01655,NA,0.042460000000000005,28.04609388239281,THETE/SUIPU,1
6025,b,NA,0.03180178932473887,0.03981221827374681,Sp,NA,4.270035662953253e-4,-0.001003591976806606,N,High,N,Tt/Sp,Sp,44.1,1.2,37.3,-31.687966882647903,OTHER,74.47663634440008,0.01904,0.01307,NA,0.05161,20.20717377860235,THETE/SUIPU,1
6026,a,NA,0.018063464883455005,0.014578819015147904,Tt,NA,0.004437561319404981,-1.0946494792402062e-4,Y,High,N,Tt/Tt,Tt,46.4,1.9,24.6,-165.01597293037418,SELF,4.070583724548301,NA,0.02705,NA,0.09192,22.736824409515002,THETE/THETE,1
6026,b,NA,0.021679761989539026,0.01971226536119053,Tt,NA,0.002456043112603057,-7.736720651709827e-4,N,High,N,Tt/Tt,Tt,41.7,2.4,17.2,-28.021900964910454,SELF,8.827109702712653,NA,0.00917,NA,0.05633,13.999999999999998,THETE/THETE,1
6028,b,NA,0.011049952629107906,0.0060915248743094175,Tt,NA,7.116579829188896e-4,-8.466623983431898e-4,Y,High,N,MIXED/THETE,Tt,45.1,1.6,28.9,-13.051190947810193,0,15.527054981925653,0.0105,0.0629,NA,0.0385,62.03155818540434,MIXED/THETE,1
6029,a,NA,0.0042553512206249255,0.008532320839050866,Tt,NA,-0.0017152555717276918,-7.517749860734835e-4,N,Low,N,Tt/Tt,Tt,44.8,1,45.9,-5.660405439732174,SELF,-2.480884651106961,NA,9e-5,NA,0.04313,0.20823692734844979,THETE/THETE,1
6029,b,NA,0.008884137351575339,0.010401317393731846,Tt,NA,1.8249142258303097e-4,-4.707633253426269e-4,Y,Low,N,Tt/Tt,Tt,46.4,0.8,55.2,-18.87177032133793,SELF,48.68249272117534,NA,0.00153,NA,0.03923,3.7536800785083417,THETE/THETE,1
6030,a,NA,0.017304998203153454,0.009554780646113148,Tt,NA,-3.5033024171648997e-4,-8.50311917809099e-4,N,Low,N,Tt/Tt,Tt,46.9,0.4,109.3,-20.35135323957502,SELF,-49.39624429328538,NA,0.0072,NA,0.07332,8.941877794336811,THETE/THETE,1
6030,b,NA,NA,0.013094747010451213,Tt,NA,NA,-0.001175120221067083,Y,Low,N,Tt/Tt,Tt,44.8,0.6,69.4,NA,SELF,NA,NA,0.00637,NA,0.040330000000000005,13.640256959314772,THETE/THETE,1
6031,a,NA,0.006597285283492793,0.005948591647396917,Tt,NA,-6.49588744216334e-4,-7.992186696161863e-4,Y,Low,N,Tt/None,Tt,45,0.6,75.7,-8.254668633630704,NM,-10.156095440741943,NA,0.00805,NA,0.017980000000000003,30.925854782942753,THETE/NM,1
6031,b,NA,NA,0.009455833846683026,None,NA,NA,-1.2771227789387662e-4,N,Low,N,Tt/None,None,42.9,0.8,53.1,-74.04013147851309,0,NA,NA,0.0034,NA,0.049240000000000006,6.4589665653495425,THETE/NM,1
6032,a,0.0012645511855917668,0.003936487771094566,0.007531828953323494,Tt,-0.002266345647666146,-4.92660280919266e-4,-0.0012663588894937794,N,Low,N,Tt/Tt,Tt,39.4,1.7,23,-3.1085088151180877,SELF,-7.990268189977451,NA,0.02623,NA,0.03577,42.306451612903224,THETE/THETE,1
6032,b,0.004508241460242202,0.005574764331746751,0.007850669224038764,Tt,-6.860838065314567e-4,-7.444759618465691e-4,-8.57610957542998e-4,Y,Low,N,Tt/Tt,Tt,15.1,0.7,21.6,-6.5003417723557355,SELF,-7.48817237553154,NA,0.02386,NA,0.04517,34.564682022309135,THETE/THETE,1
6033,a,0.004310327469668529,0.010269390542044343,NA,Sp,1.9343975319130458e-4,8.320882079917435e-4,NA,N,Low,N,Sp/Sp,Sp,30.7,1.4,21.4,NA,SELF,12.341709020044473,0.00296,0.0094,NA,0.02336,28.693528693528698,SUIPU/SUIPU,1
6033,b,0.018448189912061874,0.02005301060536402,0.006311421339885381,Sp,0.0047805785672452306,0.0015035726104622449,-9.34250939317427e-4,Y,Low,N,Sp/Sp,Sp,32.2,1.8,17.9,-21.464265928397083,0,13.336908683910584,NA,0.00314,NA,0.05809,5.128205128205128,SUIPU/SUIPU,1
6034,a,NA,0.01450186822817523,0.02051466170688876,Tt,NA,4.963426125029202e-4,-3.7952611404140635e-4,Y,High,N,MIXED/THETE,Tt,35.7,3.6,9.9,-38.21046218335604,0,29.217455569745,NA,0.02442,NA,0.040190000000000003,37.79600681009132,MIXED/THETE,1
6035,a,NA,0.0064653482840644205,0.006344405725396074,Tt,NA,-6.202192128318407e-5,-9.486708876055294e-5,N,Low,N,Tt/Tt,Tt,43.6,0.8,55.2,-68.15164635633683,SELF,-104.24295394759663,NA,8.5e-4,NA,0.01781,4.555198285101822,THETE/THETE,1
6035,b,0.00681717950039773,0.005574764331746751,0.00857629803998261,Tt,0.008163185990416322,-9.121762463820682e-5,-3.028869856829264e-4,Y,Low,N,Tt/Tt,Tt,47.1,1.3,36.6,-18.40542709082465,SELF,-61.11499125150143,NA,0.00437,NA,0.02195,16.60334346504559,THETE/THETE,1
6036,a,NA,0.013061767126727464,0.005904612109858043,Sp,NA,-1.4231014668225628e-4,-0.0010181901022610629,N,Low,N,Sp/Sp,Sp,50.3,0.6,87,-12.828416911264023,SELF,-91.78380762891906,0.0037,3e-4,0.00528,0.04026,0.6544502617801047,SUIPU/SUIPU,1
6036,b,NA,0.004387294115665963,0.005233919316637747,Sp,NA,5.1111267600434385e-5,-1.9340272112816637e-4,Y,Low,N,Sp/Sp,Sp,42.7,0.6,72.6,-22.68475898412277,SELF,85.83810031799477,1.6e-4,0,NA,0.04259,0,SUIPU/SUIPU,1
6038,a,0.02097630849866916,0.06400045049432634,NA,Tt,3.613138545441319e-4,-4.6711383368225334e-4,NA,N,High,N,Tt/Tt,Tt,44.9,2.4,18.9,NA,SELF,-137.01253501702462,NA,0.0095,NA,0.18480000000000002,4.889346371590323,THETE/THETE,1
6038,b,NA,0.04125154051905788,0.01773369819095838,Tt,NA,0.004200367160267726,-1.3866067908407942e-4,Y,High,N,Tt/Tt,Tt,48.1,1.8,26.6,-297.49991700274495,SELF,9.820936824110529,NA,0.0325,NA,0.036699999999999997,46.96531791907515,THETE/THETE,1
6039,a,NA,0.0032547728109193486,0.0035516498356618076,Tt,NA,-4.707633253426269e-4,-5.765986997945394e-4,N,Low,N,Tt/None,Tt,46.5,0.5,99.4,-5.644780003976992,NM,-6.913819823476028,NA,0.01556,NA,0.03635,29.974956655750333,THETE/NM,1
6039,b,NA,NA,0.0038375297308359535,None,NA,NA,-1.861037787133646e-4,Y,Low,N,Tt/None,None,56.5,0.8,74.7,-20.6203751335242,0,NA,NA,0,NA,0.05432,0,THETE/NM,1
6040,a,NA,0.014820663566123882,0.008235473709920615,Tt,NA,5.729803933919309e-4,-3.5397972482137385e-4,N,High,N,Tt/None,Tt,39.4,3.6,10.9,-41.868679268573146,NM,25.86591746776618,NA,0.2364,NA,0.031,88.40688107703815,THETE/NM,1
6040,b,NA,NA,0.007542823479634642,None,NA,NA,-9.30601413702159e-4,Y,High,N,Tt/None,None,44.3,1.5,29.4,-8.10532132078701,0,NA,NA,0,NA,0.04905,0,THETE/NM,1
6041,a,NA,0.021086223766257683,0.010445292932755423,Sp,NA,1.6059475414781366e-4,-8.39363360213452e-4,N,High,N,Tt/Sp,Sp,14.9,1.2,12.4,-25.12168718074066,OTHER,131.3008253485642,0.0037,0.0205,NA,0.046,30.82706766917293,THETE/SUIPU,1
6041,b,NA,0.12292754376658754,0.014007181738600716,Tt,NA,0.044999390699924036,0.0029632900859812294,Y,High,N,Tt/Sp,Tt,36.9,1.2,31.1,41.48346607985993,OTHER,2.731760182850544,NA,0.0018,NA,0.0352,4.864864864864864,THETE/SUIPU,1
6043,a,NA,0.038889272037155864,0.013523483497465794,Sp,NA,6.569168752761922e-4,-0.0014378880385196857,N,High,N,Sp/Sp,Sp,39.6,0.9,42.4,-27.046105813073318,SELF,59.199684923309924,NA,0.0162,NA,0.1021,13.693998309382927,SUIPU/SUIPU,1
6043,b,NA,0.06071673002756617,0.012611039844925731,Sp,NA,-2.0800060916620344e-4,-7.371769386890215e-4,Y,High,N,Sp/Sp,Sp,28.1,1.9,14.6,-82.363848949946,SELF,-291.90650099995764,0.00316,0.00207,NA,0.04733,4.190283400809716,SUIPU/SUIPU,1
