Page,Original_entry_order,Date,Weigher,Plant_number,Side,Labeling_batch,Tissue,Mass_g,Notes,Notes2,,,,,,,,,,,,,,,,,
4,91,180209,AY,6032,A,FC04,mycos %,0.02623,,,,,,,,,,,,,,,,,,,
4,92,180209,AY,6084,B,FC04,NM %,0.0212,,,,,,,,,,,,,,,,,,,
4,93,180209,AY,6084,B,FC04,other %,0.00459,very little amount,,,,,,,,,,,,,,,,,,
4,94,180209,AY,6084,B,FC04,dead mycos %,0.00753,very little amount,,,,,,,,,,,,,,,,,,
4,95,180209,AY,6084,B,FC04,mycos %,0.0041,very little amount,,,,,,,,,,,,,,,,,,
4,96,180209,AY,6034,none,FC05,before,0.01277,,,,,,,,,,,,,,,,,,,
4,97,180209,AY,6084,A,FC04,other %,0.01019,,,,,,,,,,,,,,,,,,,
4,98,180209,AY,6084,A,FC04,hyphae,0.00113,stuck on envelope,,,,,,,,,,,,,,,,,,
4,99,180209,AY,6084,A,FC04,dead mycos %,0.0184,,,,,,,,,,,,,,,,,,,
4,100,180209,AY,6084,B,FC04,other roots,0.73349,,,,,,,,,,,,,,,,,,,
4,101,180209,AY,6031,B,FC04,TFRs %,0.01699,,,,,,,,,,,,,,,,,,,
4,102,180209,AY,6031,none,FC04,shoot,0.36312,,,,,,,,,,,,,,,,,,,
4,103,180209,AY,6031,A,FC04,mycos %,0.00805,,,,,,,,,,,,,,,,,,,
4,104,180209,AY,6031,A,FC04,other %,0.00909,,,,,,,,,,,,,,,,,,,
4,105,180209,AY,6031,B,FC04,other,0.072,,,,,,,,,,,,,,,,,,,
4,106,180209,AY,6031,B,FC04,NM %,0.03225,,,,,,,,,,,,,,,,,,,
4,107,180209,AY,6097,none,FC05,before,0.02722,,,,,,,,,,,,,,,,,,,
4,108,180209,AY,6050,none,FC05,before,0.01072,,,,,,,,,,,,,,,,,,,
4,109,180209,AY,6068,none,FC05,before,0.01443,,,,,,,,,,,,,,,,,,,
4,110,180209,AY,6059,none,FC05,before,0.00834,,,,,,,,,,,,,,,,,,,
4,111,180209,AY,6031,A,FC04,extra roots,0.34805,,"added ""roots,"" just said ""extra"" originally",,,,,,,,,,,,,,,,,
4,112,180209,AY,6031,A,FC04,NM %,0.00889,,,,,,,,,,,,,,,,,,,
4,113,180209,AY,6096,A,FC04,NM %,0.02053,,,,,,,,,,,,,,,,,,,
4,114,180209,AY,6096,A,FC04,TFRs %,0.00423,,,,,,,,,,,,,,,,,,,
4,115,180209,AY,6032,A,FC04,NM %,0.02425,,,,,,,,,,,,,,,,,,,
4,116,180209,AY,6032,A,FC04,other %,0.01152,,,,,,,,,,,,,,,,,,,
4,117,180209,AY,6096,B,FC04,TFRs %,0.00528,,,,,,,,,,,,,,,,,,,
4,118,180209,AY,6096,A,FC04,other roots,0.12255,,,,,,,,,,,,,,,,,,,
4,119,180209,AY,6032,B,FC04,hyphae,0.00822,,,,,,,,,,,,,,,,,,,
4,120,180209,AY,6032,A,FC04,hyphae,0.00061,,,,,,,,,,,,,,,,,,,
4,121,180209,AY,6032,A,FC04,extra roots,0.35009,,,,,,,,,,,,,,,,,,,
5,122,180123,AY,6096,none,FC04,shoot,0.43969,,,,,,,,,,,,,,,,,,,
5,123,180123,AY,6096,B,FC04,other %,0.0093,,,,,,,,,,,,,,,,,,,
5,124,180123,AY,6096,B,FC04,extra roots,0.24689,,,,,,,,,,,,,,,,,,,
5,125,180123,AY,6096,B,FC04,NM %,0.00496,,,,,,,,,,,,,,,,,,,
5,126,180123,AY,6078,B,FC04,extra roots,0.25901,,,,,,,,,,,,,,,,,,,
