plant,side,tissue,Identifier 1,Identifier 2,Run,Row,Amount,d13C,pctC,mcgC,d15N,pctN,mcgN,CNratio
6041,a,mycorrhizas,Bogar_6041_a_mycorrhizas,4_C11,3,123,2299,-10.93,14.9,342,6.34,1.2,28,12.4
6033,a,hyphae/rhizomorphs,Bogar_6033_a_hyphae/rhizomorphs,4_D1,3,125,626,-26.19,19.1,120,6.43,1,6,18.7
6099,a,mycorrhizas,Bogar_6099_a_mycorrhizas,4_D2,3,126,3077,-11.03,41.2,1269,5.87,2,62,20.4
6051,b,mycorrhizas,Bogar_6051_b_mycorrhizas,4_D3,3,127,2175,-10.34,31.1,677,10.52,2.1,46,14.7
6001,a,mycorrhizas,Bogar_6001_a_mycorrhizas,4_D4,3,128,2548,-17.78,37.9,965,8.99,1.6,42,23.1
6021,b,mycorrhizas,Bogar_6021_b_mycorrhizas,4_D5,3,130,3710,-26.42,38.9,1444,5.08,0.7,27,54.3
6039,b,NM,Bogar_6039_b_NM,4_D6,3,131,2321,-26.62,56.5,1311,5.39,0.8,18,74.7
6070,a,NM,Bogar_6070_a_NM,4_D7,3,132,2462,-3.36,50.7,1248,5.18,2.1,52,24.1
6034,b,mycorrhizas,Bogar_6034_b_mycorrhizas,4_D8,3,133,3161,-28.73,21.5,678,10.74,0.8,27,25.4
6043,b,mycorrhizas,Bogar_6043_b_mycorrhizas,4_D9,3,134,2173,25.14,28.1,611,5.33,1.9,42,14.6
6024,b,NM,Bogar_6024_b_NM,4_D12,3,137,2494,-10.01,48.6,1212,5.92,1.7,44,27.8
6011,a,mycorrhizas,Bogar_6011_a_mycorrhizas,4_E1,3,139,2261,-18.31,36.7,830,4.85,0.8,19,43.3
6052,a,NM,Bogar_6052_a_NM,4_E2,3,140,3761,-19.56,46.6,1753,2.96,1.3,48,36.6
6040,a,NM,Bogar_6040_a_NM,4_E3,3,141,2979,-22.62,42,1251,4.93,1.3,40,31.4
6061,b,NM,Bogar_6061_b_NM,4_E4,3,142,3182,-24.2,39.9,1270,3.92,0.5,15,85.2
6044,b,NM,Bogar_6044_b_NM,4_E5,3,143,3495,-22.15,47,1644,5.55,0.7,25,66
6045,a,NM,Bogar_6045_a_NM,4_E6,3,144,3752,-25.52,44.2,1659,4.4,0.6,21,77.4
6026,b,NM,Bogar_6026_b_NM,4_E7,3,145,2762,-12.18,46.2,1276,3.78,1.5,41,31.3
6011,a,NM,Bogar_6011_a_NM,4_E8,3,146,3561,-22.58,45,1602,4.53,0.6,23,69.9
6067,b,mycorrhizas,Bogar_6067_b_mycorrhizas,4_E9,4,12,1990,-23.78,31.8,633,5.46,0.8,17,37.8
6008,b,mycorrhizas,Bogar_6008_b_mycorrhizas,4_E11,4,14,1500,-25.96,38.3,575,6.32,1.1,17,34.7
6053,a,mycorrhizas,Bogar_6053_a_mycorrhizas,4_F1,4,16,2821,-27.21,43.6,1231,5.12,0.6,18,67.5
6029,a,mycorrhizas,Bogar_6029_a_mycorrhizas,4_F2,4,17,264,-26.24,54.5,144,1.2,1.5,4,35.6
6071,a,NM,Bogar_6071_a_NM,4_F3,4,18,2004,-26.04,46.3,928,5.87,0.6,11,82.3
6057,b,mycorrhizas,Bogar_6057_b_mycorrhizas,4_F4,4,19,3510,-24.11,49.9,1753,6.01,1,34,50.8
